response
0
0
0
0
0
20
4
7
0
55
15
9
0
99
0
239
7
0
19
0
78
15
5
0
1
0
421
4
10
17
7
693
18
866
147
10
62
35
152
21
68
118
0
6
3
0
104
2740
1
0
7
0
10
2662
5
9
298
1426
1
47
665
70
10
336
213

5
4
12
222
137
1
7
100
0
11
2
0
20
30
77
