food_prep
15
2
60
45
0
5
0
0
0
40
0
30
0
25
0
0
0
40
145
120
0
0
60
0
0
15
0
30
30
36
60
0
20
20
0
60
10
105
97
0
0
0
0
9
0
0
35
0
90
0
0
32
60
0
30
0
50
120
25
150
30
55
60
105
0
15
0
0
0
0
0
0
30
0
0
45
30
0
0
40
55
30
30
91
2
0
0
10
0
60
10
0
30
30
0
60
0
90
60
0
60
0
195
0
30
120
105
15
0
0
30
0
8
0
100
55
0
4
60
0
0
60
110
0
0
15
20
60
15
0
45
0
45
0
10
0
120
27
0
30
0
0
0
36
0
55
20
30
30
60
0
0
0
20
65
25
20
30
15
30
105
60
15
0
85
70
117
55
0
20
0
0
0
0
0
45
1
75
0
35
0
0
15
0
0
0
120
60
0
210
0
0
150
30
45
0
0
25
0
85
90
0
31
260
20
15
10
0
10
90
0
45
35
30
50
0
0
40
54
0
35
0
15
15
0
35
0
0
15
0
95
0
5
140
30
0
100
40
10
105
0
60
5
0
0
30
15
30
80
0
320
30
0
5
65
0
0
0
60
0
0
4
0
45
0
0
30
0
30
125
30
60
0
80
0
60
30
180
0
60
30
0
30
25
45
30
20
0
0
210
130
0
60
70
0
60
50
50
25
0
60
40
0
90
50
0
15
32
240
1
90
30
0
0
45
30
60
0
0
10
30
0
0
90
0
60
10
0
60
50
30
20
0
1
10
15
0
0
45
20
5
60
0
60
80
0
30
80
120
10
0
45
10
55
0
60
0
15
0
90
0
20
120
5
0
90
45
0
0
0
0
130
2
40
0
0
5
0
5
0
0
1
10
150
0
120
10
5
0
10
90
90
60
0
20
60
0
0
0
0
